Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00952304123874648,-0.0385000000079273,0.0139434636099319,0,0,0,0.267600954152043,9.27694549503187E-05,7.95231114235329E-14,-3.69052424525288E-15,3.60005884276566E-05,7.2212515745448E-14,9.02125908898001E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/base_link.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/base_link.STL,,Channel Bracket-1;Channel Bracket-4;Channel Bracket-5;Multi Purpose Bracket-7;Multi Purpose Bracket-8;Multi Purpose Bracket-5;Multi Purpose Bracket-6;Servomotor SG 5010-4/Tap 02-1;Servomotor SG 5010-3/Tap 02-1;Servomotor SG 5010-3/Tap 01-1;Servomotor SG 5010-3/Tap 03-1;Servomotor SG 5010-4/Tap 01-1;Servomotor SG 5010-4/Tap 03-1;Servomotor SG 5010-1/Tap 02-1;Servomotor SG 5010-2/Tap 01-1;Servomotor SG 5010-2/Tap 02-1;Servomotor SG 5010-2/Tap 03-1;Servomotor SG 5010-1/Tap 03-1;Servomotor SG 5010-1/Tap 01-1,Coordinate_System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_1_hip,0.0238940041078609,0.0317925842621392,0.0267813099844956,0,0,0,0.0670777628949341,2.37941932933248E-05,-1.03091198376054E-06,-2.08517884907151E-08,2.49239414062053E-05,-5.27852248064037E-11,1.068321638004E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_hip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_hip.STL,,Offset Bracket-5;Multi Purpose Bracket-9;Servomotor SG 5010-5/Tap 02-1;Servomotor SG 5010-5/Tap 03-1;Servomotor SG 5010-5/Tap 01-1;Acople-3,leg_1_hip_coordinate,leg_1_hip_axis,leg1_hip_joint,revolute,0.06197,-0.082557,0.0385,3.1416,0,-0.41814,base_link,0,0,1,10,5,-3,3,,,,,,,,
leg_1_knee,-0.0387166409997666,0.0235364817007109,-0.0345349531494703,0,0,0,0.0696914928574291,2.57833728209493E-05,-3.62846408670039E-07,-1.12322935758401E-07,1.9765157620611E-05,-3.94592499601994E-07,2.57467684548985E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_knee.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_knee.STL,,Acople-6;U Long Bracket-4;Multi Purpose Bracket-13;Servomotor SG 5010-12/Tap 03-1;Servomotor SG 5010-12/Tap 02-1;Servomotor SG 5010-12/Tap 01-1,leg_1_knee_coordinate,leg_1_knee_axis,leg_1_knee_joint,revolute,0.060665,0.04177,0.036307,3.1416,0,-1.5708,leg_1_hip,0,-1,0,10,5,-3,3,,,,,,,,
leg_1_ankle,-3.98306387872083E-12,0.0280775387533778,0.0172277429079968,0,0,0,0.0169824099129692,1.11378366738052E-05,-4.2351647362715E-22,-6.45862622281404E-21,3.39360074925844E-06,-1.55642304057978E-20,9.36668224662846E-06,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_ankle.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_1_ankle.STL,,Acople-12;U Bracket-4;foot-2,leg_1_ankle_coordinate,leg_1_ankle_axis,leg_1_ankle_joint,revolute,-0.042293,0.0005,-0.049058,3.1416,-1.0269,-3.1416,leg_1_knee,0,-1,0,10,5,-3,3,,,,,,,,
leg_2_hip,0.0238940050804832,-0.0318845074150191,0.0267811755411331,0,0,0,0.0670777528778399,2.37941890068975E-05,1.03091155379572E-06,-2.08139073588797E-08,2.49239363733876E-05,-5.37393323962835E-11,1.06832159907175E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_hip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_hip.STL,,Offset Bracket-2;Multi Purpose Bracket-12;Servomotor SG 5010-8/Tap 02-1;Servomotor SG 5010-8/Tap 01-1;Servomotor SG 5010-8/Tap 03-1;Acople-4,leg_2_hip_coordinate,leg_2_hip_axis,leg_2_hip_joint,revolute,0.06177,0.0055571,0.0385,3.1416,0,0.54496,base_link,0,0,-1,10,5,-3,3,,,,,,,,
leg_2_knee,0.0110549974171554,0.0235364817776289,0.0506895290762288,0,0,0,0.0696914932142878,2.58517431531998E-05,1.65388681389966E-07,-7.37515874769607E-08,1.9765158463876E-05,5.09909022974609E-07,2.56783993177638E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_knee.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_knee.STL,,U Long Bracket-5;Acople-5;Servomotor SG 5010-10/Tap 02-1;Multi Purpose Bracket-14;Servomotor SG 5010-10/Tap 01-1;Servomotor SG 5010-10/Tap 03-1,leg_2_knee_coordinate,leg_2_knee_axis,leg_2_knee_joint,revolute,0.060665,-0.04197,0.036307,0,0,1.5708,leg_2_hip,0,-1,0,10,5,-3,3,,,,,,,,
leg_2_ankle,9.86905002164917E-13,0.0280775387538067,0.0172277429085545,0,0,0,0.0169824099129693,1.11378366738053E-05,-9.52912065661088E-22,4.2351647362715E-22,3.39360074925848E-06,-2.53051092992222E-20,9.36668224662851E-06,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_ankle.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_2_ankle.STL,,U Bracket-5;Acople-10;foot-3,leg_2_ankle_coordinate,leg_2_ankle_axis,leg_2_ankle_joint,revolute,0.021947,0.0005,0.06094,0,0.35662,0,leg_2_knee,0,-1,0,10,5,-3,3,,,,,,,,
leg_3_hip,0.0241828876323645,0.0321769623795728,0.0275025603079383,0,0,0,0.0662764728810252,2.37727651302938E-05,-1.03091246103181E-06,-2.08509181994205E-08,2.49025132850156E-05,-5.19481180020419E-11,1.06429150428656E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_hip.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_hip.STL,,Offset Bracket-3;Multi Purpose Bracket-11;Servomotor SG 5010-7/Tap 02-1;Servomotor SG 5010-7/Tap 01-1;Servomotor SG 5010-7/Tap 03-1,leg_3_hip_coordinate,leg_3_hip_axis,leg_3_hip_joint,revolute,-0.04277,0.0055571,0.0395,-3.1416,0,3.1072,base_link,0,0,1,10,5,-3,3,,,,,,,,
leg_3_knee,0.02253575726486,0.0235364816237057,0.0467309417131402,0,0,0,0.0696914924427351,2.58574872475174E-05,1.84030420073523E-07,-6.64122491923372E-08,1.97651578429364E-05,5.03481431368262E-07,2.56726543908535E-05,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_knee.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_knee.STL,,Acople-8;U Long Bracket-2;Multi Purpose Bracket-15;Servomotor SG 5010-9/Tap 02-1;Servomotor SG 5010-9/Tap 01-1;Servomotor SG 5010-9/Tap 03-1,leg_3_knee_coordinate,leg_3_knee_axis,leg_3_knee_joint,revolute,0.060665,0.04177,0.037307,0,0,1.5708,leg_3_hip,0,1,0,10,5,-3,3,,,,,,,,
leg_3_ankle,-3.30707683460219E-13,-0.0280775387533545,-0.0172277429084622,0,0,0,0.0169824099129692,1.11378366738052E-05,9.21148330139052E-21,-3.59989002583078E-21,3.39360074925847E-06,-9.52912065661088E-21,9.3666822466284E-06,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_ankle.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Quadruped_prestip/meshes/leg_3_ankle.STL,,U Bracket-3;Acople-9;foot-5,leg_3_ankle_coordinate,leg_3_ankle_axis,leg_3_ankle,revolute,0.020276,0.0005,0.061516,3.1416,-0.27473,0,leg_3_knee,0,-1,0,10,5,-3,3,,,,,,,,
